@epoch 87, train_loss : 975.063, dev_loss : 507.659, train_accuracy : 0.698, dev_accuracy : 0.6647
@epoch 88, train_loss : 943.113, dev_loss : 586.645, train_accuracy : 0.722, dev_accuracy : 0.5542
@epoch 89, train_loss : 946.462, dev_loss : 495.089, train_accuracy : 0.711, dev_accuracy : 0.6727
@epoch 90, train_loss : 810.009, dev_loss : 452.765, train_accuracy : 0.815, dev_accuracy : 0.7008
@epoch 91, train_loss : 706.968, dev_loss : 454.315, train_accuracy : 0.818, dev_accuracy : 0.6908
@epoch 92, train_loss : 733.236, dev_loss : 450.996, train_accuracy : 0.752, dev_accuracy : 0.6867
@epoch 93, train_loss : 878.528, dev_loss : 549.647, train_accuracy : 0.738, dev_accuracy : 0.5562
@epoch 94, train_loss : 1177.75, dev_loss : 574.683, train_accuracy : 0.665, dev_accuracy : 0.6506
@epoch 95, train_loss : 685.098, dev_loss : 425.613, train_accuracy : 0.823, dev_accuracy : 0.6606
@epoch 96, train_loss : 828.674, dev_loss : 562.639, train_accuracy : 0.744, dev_accuracy : 0.5582
@epoch 97, train_loss : 1255.84, dev_loss : 633.77, train_accuracy : 0.657, dev_accuracy : 0.6466
@epoch 98, train_loss : 727.09, dev_loss : 413.211, train_accuracy : 0.816, dev_accuracy : 0.7068
@epoch 99, train_loss : 1381.2, dev_loss : 854.661, train_accuracy : 0.594, dev_accuracy : 0.4438
@epoch 100, train_loss : 964.064, dev_loss : 447.742, train_accuracy : 0.719, dev_accuracy : 0.6747
@epoch 101, train_loss : 776.08, dev_loss : 413.817, train_accuracy : 0.751, dev_accuracy : 0.6827
@epoch 102, train_loss : 821.982, dev_loss : 601.122, train_accuracy : 0.718, dev_accuracy : 0.5402
@epoch 103, train_loss : 993.719, dev_loss : 497.766, train_accuracy : 0.716, dev_accuracy : 0.6787
@epoch 104, train_loss : 617.531, dev_loss : 436.451, train_accuracy : 0.808, dev_accuracy : 0.7088
@epoch 105, train_loss : 919.241, dev_loss : 689.647, train_accuracy : 0.684, dev_accuracy : 0.5181
@epoch 106, train_loss : 1006.27, dev_loss : 520.753, train_accuracy : 0.697, dev_accuracy : 0.6566
@epoch 107, train_loss : 671.011, dev_loss : 375.877, train_accuracy : 0.812, dev_accuracy : 0.7068
@epoch 108, train_loss : 1422.69, dev_loss : 955.655, train_accuracy : 0.588, dev_accuracy : 0.4418
@epoch 109, train_loss : 791.813, dev_loss : 492.626, train_accuracy : 0.715, dev_accuracy : 0.6787
@epoch 110, train_loss : 804.164, dev_loss : 402.185, train_accuracy : 0.761, dev_accuracy : 0.6867
@epoch 111, train_loss : 1122.18, dev_loss : 647.79, train_accuracy : 0.7, dev_accuracy : 0.5301
@epoch 112, train_loss : 950.696, dev_loss : 494.214, train_accuracy : 0.716, dev_accuracy : 0.6767
@epoch 113, train_loss : 840.31, dev_loss : 420.617, train_accuracy : 0.784, dev_accuracy : 0.7028
@epoch 114, train_loss : 1244.91, dev_loss : 872.482, train_accuracy : 0.635, dev_accuracy : 0.4739
@epoch 115, train_loss : 848.948, dev_loss : 448.526, train_accuracy : 0.721, dev_accuracy : 0.6747
@epoch 116, train_loss : 818.551, dev_loss : 431.029, train_accuracy : 0.81, dev_accuracy : 0.7048
@epoch 117, train_loss : 956.534, dev_loss : 658.282, train_accuracy : 0.708, dev_accuracy : 0.5281
@epoch 118, train_loss : 810.881, dev_loss : 434.554, train_accuracy : 0.716, dev_accuracy : 0.6787
@epoch 119, train_loss : 762.712, dev_loss : 416.639, train_accuracy : 0.738, dev_accuracy : 0.6787
@epoch 120, train_loss : 1492.0, dev_loss : 947.538, train_accuracy : 0.602, dev_accuracy : 0.4458
@epoch 121, train_loss : 710.943, dev_loss : 501.122, train_accuracy : 0.846, dev_accuracy : 0.6807
@epoch 122, train_loss : 1729.12, dev_loss : 790.016, train_accuracy : 0.633, dev_accuracy : 0.6486
@epoch 123, train_loss : 957.885, dev_loss : 453.251, train_accuracy : 0.74, dev_accuracy : 0.6787
@epoch 124, train_loss : 2060.37, dev_loss : 1304.21, train_accuracy : 0.549, dev_accuracy : 0.4157
@epoch 125, train_loss : 912.882, dev_loss : 627.249, train_accuracy : 0.763, dev_accuracy : 0.5803
@epoch 126, train_loss : 2074.88, dev_loss : 1061.36, train_accuracy : 0.605, dev_accuracy : 0.6506
@epoch 127, train_loss : 1811.06, dev_loss : 903.111, train_accuracy : 0.622, dev_accuracy : 0.6486
@epoch 128, train_loss : 1303.84, dev_loss : 914.363, train_accuracy : 0.635, dev_accuracy : 0.4639
@epoch 129, train_loss : 1278.05, dev_loss : 803.49, train_accuracy : 0.679, dev_accuracy : 0.498
@epoch 130, train_loss : 1739.51, dev_loss : 929.263, train_accuracy : 0.627, dev_accuracy : 0.6506
@epoch 131, train_loss : 1761.92, dev_loss : 794.012, train_accuracy : 0.642, dev_accuracy : 0.6446
@epoch 132, train_loss : 1405.68, dev_loss : 990.72, train_accuracy : 0.631, dev_accuracy : 0.4578
@epoch 133, train_loss : 1036.84, dev_loss : 811.648, train_accuracy : 0.676, dev_accuracy : 0.502
@epoch 134, train_loss : 1729.87, dev_loss : 849.221, train_accuracy : 0.646, dev_accuracy : 0.6406
@epoch 135, train_loss : 1317.97, dev_loss : 718.136, train_accuracy : 0.678, dev_accuracy : 0.6466
@epoch 136, train_loss : 1716.16, dev_loss : 1113.42, train_accuracy : 0.587, dev_accuracy : 0.4398
@epoch 137, train_loss : 1011.2, dev_loss : 743.6, train_accuracy : 0.701, dev_accuracy : 0.5161
@epoch 138, train_loss : 1775.77, dev_loss : 884.982, train_accuracy : 0.646, dev_accuracy : 0.6426
@epoch 139, train_loss : 1499.89, dev_loss : 843.08, train_accuracy : 0.669, dev_accuracy : 0.6406
@epoch 140, train_loss : 1636.07, dev_loss : 966.816, train_accuracy : 0.611, dev_accuracy : 0.4458
@epoch 141, train_loss : 1382.58, dev_loss : 948.681, train_accuracy : 0.633, dev_accuracy : 0.4639
@epoch 142, train_loss : 1465.78, dev_loss : 743.715, train_accuracy : 0.677, dev_accuracy : 0.6426
@epoch 143, train_loss : 1462.09, dev_loss : 669.971, train_accuracy : 0.681, dev_accuracy : 0.6446
@epoch 144, train_loss : 1509.13, dev_loss : 878.695, train_accuracy : 0.654, dev_accuracy : 0.4759
@epoch 145, train_loss : 965.009, dev_loss : 723.759, train_accuracy : 0.737, dev_accuracy : 0.5482
@epoch 146, train_loss : 1012.97, dev_loss : 609.842, train_accuracy : 0.708, dev_accuracy : 0.6586
@epoch 147, train_loss : 929.486, dev_loss : 465.434, train_accuracy : 0.744, dev_accuracy : 0.6787
@epoch 148, train_loss : 1231.08, dev_loss : 1067.84, train_accuracy : 0.627, dev_accuracy : 0.4518
@epoch 149, train_loss : 627.393, dev_loss : 400.786, train_accuracy : 0.858, dev_accuracy : 0.6988
@epoch 150, train_loss : 1378.54, dev_loss : 694.013, train_accuracy : 0.682, dev_accuracy : 0.6426
@epoch 151, train_loss : 608.519, dev_loss : 418.055, train_accuracy : 0.835, dev_accuracy : 0.7088
@epoch 152, train_loss : 1610.6, dev_loss : 1124.59, train_accuracy : 0.592, dev_accuracy : 0.4458
@epoch 153, train_loss : 649.579, dev_loss : 459.871, train_accuracy : 0.857, dev_accuracy : 0.7169
@epoch 154, train_loss : 1326.18, dev_loss : 784.439, train_accuracy : 0.678, dev_accuracy : 0.6446
@epoch 155, train_loss : 607.354, dev_loss : 397.061, train_accuracy : 0.833, dev_accuracy : 0.7008
@epoch 156, train_loss : 1621.41, dev_loss : 1204.94, train_accuracy : 0.595, dev_accuracy : 0.4438
@epoch 157, train_loss : 751.357, dev_loss : 425.235, train_accuracy : 0.849, dev_accuracy : 0.7209
@epoch 158, train_loss : 1459.22, dev_loss : 741.446, train_accuracy : 0.673, dev_accuracy : 0.6406
@epoch 159, train_loss : 623.27, dev_loss : 421.095, train_accuracy : 0.835, dev_accuracy : 0.7088
@epoch 160, train_loss : 1596.26, dev_loss : 1166.11, train_accuracy : 0.601, dev_accuracy : 0.4438
@epoch 161, train_loss : 669.167, dev_loss : 393.018, train_accuracy : 0.859, dev_accuracy : 0.7189
@epoch 162, train_loss : 1378.12, dev_loss : 688.807, train_accuracy : 0.684, dev_accuracy : 0.6446
@epoch 163, train_loss : 605.778, dev_loss : 403.572, train_accuracy : 0.851, dev_accuracy : 0.7209
@epoch 164, train_loss : 1028.2, dev_loss : 749.315, train_accuracy : 0.714, dev_accuracy : 0.5201
@epoch 165, train_loss : 737.618, dev_loss : 426.565, train_accuracy : 0.835, dev_accuracy : 0.7068
@epoch 166, train_loss : 677.571, dev_loss : 439.505, train_accuracy : 0.799, dev_accuracy : 0.6968
@epoch 167, train_loss : 884.217, dev_loss : 653.826, train_accuracy : 0.76, dev_accuracy : 0.5683
@epoch 168, train_loss : 651.664, dev_loss : 443.714, train_accuracy : 0.82, dev_accuracy : 0.7048
@epoch 169, train_loss : 805.324, dev_loss : 449.564, train_accuracy : 0.766, dev_accuracy : 0.6807
@epoch 170, train_loss : 1073.38, dev_loss : 761.728, train_accuracy : 0.707, dev_accuracy : 0.5161
@epoch 171, train_loss : 767.25, dev_loss : 411.533, train_accuracy : 0.834, dev_accuracy : 0.7068
@epoch 172, train_loss : 909.068, dev_loss : 545.142, train_accuracy : 0.719, dev_accuracy : 0.6627
@epoch 173, train_loss : 881.833, dev_loss : 667.709, train_accuracy : 0.753, dev_accuracy : 0.5522
@epoch 174, train_loss : 562.649, dev_loss : 457.836, train_accuracy : 0.868, dev_accuracy : 0.7068
@epoch 175, train_loss : 934.542, dev_loss : 531.636, train_accuracy : 0.718, dev_accuracy : 0.6687
@epoch 176, train_loss : 664.938, dev_loss : 492.25, train_accuracy : 0.831, dev_accuracy : 0.6386
@epoch 177, train_loss : 841.133, dev_loss : 611.868, train_accuracy : 0.788, dev_accuracy : 0.5924
@epoch 178, train_loss : 1040.93, dev_loss : 585.179, train_accuracy : 0.714, dev_accuracy : 0.6627
@epoch 179, train_loss : 584.034, dev_loss : 393.057, train_accuracy : 0.854, dev_accuracy : 0.7189
@epoch 180, train_loss : 1508.06, dev_loss : 1154.79, train_accuracy : 0.621, dev_accuracy : 0.4498
@epoch 181, train_loss : 651.933, dev_loss : 438.47, train_accuracy : 0.86, dev_accuracy : 0.7329
@epoch 182, train_loss : 1205.53, dev_loss : 691.947, train_accuracy : 0.689, dev_accuracy : 0.6466
@epoch 183, train_loss : 674.847, dev_loss : 406.019, train_accuracy : 0.865, dev_accuracy : 0.7269
@epoch 184, train_loss : 1310.34, dev_loss : 992.489, train_accuracy : 0.658, dev_accuracy : 0.4739
@epoch 185, train_loss : 577.503, dev_loss : 410.328, train_accuracy : 0.853, dev_accuracy : 0.7189
@epoch 186, train_loss : 1169.54, dev_loss : 715.502, train_accuracy : 0.697, dev_accuracy : 0.6526
@epoch 187, train_loss : 612.175, dev_loss : 394.014, train_accuracy : 0.862, dev_accuracy : 0.7269
@epoch 188, train_loss : 1202.27, dev_loss : 826.831, train_accuracy : 0.693, dev_accuracy : 0.498
@epoch 189, train_loss : 679.732, dev_loss : 399.844, train_accuracy : 0.798, dev_accuracy : 0.6908
@epoch 190, train_loss : 701.998, dev_loss : 417.413, train_accuracy : 0.777, dev_accuracy : 0.6847
@epoch 191, train_loss : 688.615, dev_loss : 558.515, train_accuracy : 0.793, dev_accuracy : 0.5924
